fold_num,data,model,mode,fit_time,predict,predict_proba,best_params,y,y_pred,y_pred_prob,idx_of_instances,accuracy,balanced_accuracy,average_precision,f1,precision,recall,jaccard,roc_auc,mcc,fowlkes_mallows,pr_auc,cohen_kappa
1,traindata,RandomForestClassifier,outer loop,3.1116151809692383,0.04198622703552246,0.04125165939331055,"{'criterion': 'gini', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.72 0.66 0.64 ... 0.02 0.   0.08],[   0    2    3 ... 4978 4979 4980],0.998215082552432,0.9820627802690582,0.9659104779856846,0.9817351598173517,1.0,0.9641255605381166,0.9641255605381166,1.0,0.9809780661821166,0.9980367812064632,1.0,0.9807971825585119
2,traindata,RandomForestClassifier,outer loop,3.4525349140167236,0.07876920700073242,0.07860398292541504,"{'criterion': 'gini', 'n_estimators': 100}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.66 0.64 0.68 ... 0.   0.   0.  ],[   1    2    3 ... 4977 4978 4979],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,traindata,RandomForestClassifier,outer loop,3.028079032897949,0.041411399841308594,0.04064655303955078,"{'criterion': 'gini', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.8  0.7  0.64 ... 0.   0.02 0.08],[   0    1    2 ... 4978 4979 4980],0.9986616105286639,0.9865470852017937,0.9744325598749236,0.9863636363636364,1.0,0.9730941704035875,0.9730941704035875,1.0,0.9857614026114061,0.9985263369661722,1.0,0.9856600442066002
4,traindata,RandomForestClassifier,outer loop,3.1436967849731445,0.041747331619262695,0.0407867431640625,"{'criterion': 'entropy', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.74 0.74 0.64 ... 0.   0.   0.02],[   0    1    2 ... 4978 4979 4980],0.9986616105286639,0.9865470852017937,0.9744325598749236,0.9863636363636364,1.0,0.9730941704035875,0.9730941704035875,1.0,0.9857614026114061,0.9985263369661722,1.0,0.9856600442066002
5,traindata,RandomForestClassifier,outer loop,3.1253323554992676,0.04161381721496582,0.04068422317504883,"{'criterion': 'entropy', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.7  0.68 0.64 ... 0.   0.   0.02],[   0    1    2 ... 4977 4979 4980],0.9993308052643319,0.9932735426008968,0.9872162799374617,0.9932279909706546,1.0,0.9865470852017937,0.9865470852017937,1.0,0.9929012149507277,0.9992619613506812,0.9999999999999999,0.9928760192155199
6,traindata,RandomForestClassifier,outer loop,3.068713903427124,0.04185009002685547,0.04107022285461426,"{'criterion': 'gini', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.8  0.68 0.64 ... 0.02 0.   0.08],[   0    1    2 ... 4978 4979 4980],0.9991077403524425,0.9910313901345291,0.9829550399166157,0.9909502262443438,1.0,0.9820627802690582,0.9820627802690582,1.0,0.9905258808457651,0.9990164850958632,1.0,0.9904810034122301
7,traindata,RandomForestClassifier,outer loop,3.490103006362915,0.07839441299438477,0.0782628059387207,"{'criterion': 'gini', 'n_estimators': 100}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.79 0.69 0.64 ... 0.   0.   0.09],[   0    1    2 ... 4977 4978 4980],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,traindata,RandomForestClassifier,outer loop,3.0507218837738037,0.04186201095581055,0.041109561920166016,"{'criterion': 'gini', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.74 0.7  0.66 ... 0.   0.   0.1 ],[   0    1    3 ... 4978 4979 4980],0.9988846754405531,0.9887892376681615,0.9786937998957698,0.9886621315192743,1.0,0.9775784753363229,0.9775784753363229,1.0,0.9881459547484637,0.9987712769989753,1.0,0.9880757005492679
9,traindata,RandomForestClassifier,outer loop,3.04679536819458,0.040813446044921875,0.040164947509765625,"{'criterion': 'gini', 'n_estimators': 50}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.74 0.72 0.64 ... 0.02 0.   0.12],[   0    1    2 ... 4978 4979 4980],0.9988846754405531,0.9888392857142857,0.9787938959880182,0.9887133182844243,1.0,0.9776785714285714,0.9776785714285714,1.0,0.9881964065061563,0.9987707311778947,1.0,0.9881267490069428
10,traindata,RandomForestClassifier,outer loop,4.382755994796753,0.15070438385009766,0.15025687217712402,"{'criterion': 'entropy', 'n_estimators': 200}",[1 1 1 ... 0 0 0],[1 1 1 ... 0 0 0],[0.795 0.71  0.64  ... 0.005 0.    0.11 ],[   0    1    2 ... 4978 4979 4980],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
